stat,rv,ex,LB1,UB1,PR1,LB2,UB2,PR2,LB3,UB3,PR3,LB4,UB4,PR4,LB5,UB5,PR5,LB6,UB6,PR6,LB7,UB7,PR7,LB8,UB8,PR8,LB9,UB9,PR9,LB10,UB10,PR10,LB11,UB11,PR11,LB12,UB12,PR12,LB13,UB13,PR13,LB14,UB14,PR14,LB15,UB15,PR15,LB16,UB16,PR16,LB17,UB17,PR17,LB18,UB18,PR18
nfp,-43,10.71,-9999,-250,0.2,-250,-200,1,-200,-150,5.03,-150,-100,9.27,-100,-70,8.93,-70,-50,5.07,-50,-30,9.5,-30,-10,9.83,-10,0,5,0,10,8.67,10,30,9.83,30,50,7.17,50,70,11.56,70,100,4.44,100,150,3.5,150,200,0.85,200,9999,0.15,9999,9999,9999
nfp,-5,3.96,-9999,-200,0.64,-200,-150,2.34,-150,-100,9.5,-100,-75,4.13,-75,-50,12.1,-50,-30,7.3,-30,-15,14.11,-15,0,8.39,0,15,8.3,15,30,8.2,30,50,7.3,50,75,7.88,75,100,4.12,100,150,4.5,150,200,0.88,200,9999,0.32,9999,9999,9999,9999,9999,9999
nfp,-40,29.08,-9999,-150,0.17,-150,-100,1.23,-100,-75,1.8,-75,-50,3.3,-50,-25,6.97,-25,0,6.53,0,25,9.7,25,50,13.8,50,75,17.7,75,100,10,100,125,6.8,125,150,5.5,150,200,8.7,200,9999,7.8,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
nfp,-101,20.61,-9999,-150,0.2,-150,-100,5.6,-100,-75,1.3,-75,-50,2.9,-50,-25,7.5,-25,0,13,0,25,13.48,25,50,12.46,50,75,10.06,75,100,15,100,125,6.1,125,150,9.42,150,200,2.64,200,9999,0.34,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
nfp,143,58.74,-9999,-100,8.36,-100,-50,8.83,-50,-25,3.7,-25,0,5.5,0,25,7.2,25,50,8.6,50,75,9.3,75,100,11,100,125,13,125,150,8.5,150,175,4.5,175,200,2.9,200,250,4.1,250,9999,4.5,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
nfp,-308,13.28,-9999,-150,3.2,-150,-125,7.8,-125,-100,3.08,-100,-75,6,-75,-50,15.92,-50,-25,13,-25,0,11,0,25,9.2,25,50,8.48,50,75,7.12,75,100,5.8,100,125,3.9,125,150,2.6,150,175,1.5,175,200,0.8,200,9999,0.6,9999,9999,9999,9999,9999,9999
nfp,-108,-25.94,-9999,-200,11,-200,-175,2.5,-175,-150,11.5,-150,-125,3,-125,-100,13,-100,-75,9,-75,-50,7,-50,-25,8.3,-25,0,7.2,0,25,7.2,25,50,4.3,50,75,5,75,100,2.89,100,125,2.37,125,150,2.33,150,9999,3.41,9999,9999,9999,9999,9999,9999
nfp,-48,-42.91,-9999,-250,4.5,-250,-225,13.25,-225,-200,8.5,-200,-175,6.05,-175,-150,7.4,-150,-125,8.4,-125,-100,8.9,-100,-75,8.9,-75,-50,8.4,-50,-25,7.4,-25,0,5.9,0,25,4.4,25,50,4.6,50,75,1.7,75,100,1.2,100,9999,0.5,9999,9999,9999,9999,9999,9999
nfp,-17,-23.43,-9999,-250,1.16,-250,-225,1.05,-225,-200,2.19,-200,-175,1.7,-175,-150,6.19,-150,-125,9,-125,-100,11.71,-100,-75,10.89,-75,-50,7.4,-50,-25,7.7,-25,0,5.31,0,25,8.99,25,50,6.6,50,75,7.4,75,100,5.61,100,125,2.4,125,150,2.99,150,9999,1.71
nfp,-30,0.9,-9999,-150,1,-150,-125,1.8,-125,-100,3.9,-100,-75,9.52,-75,-50,8.5,-50,-25,9.4,-25,0,12.6,0,25,16.2,25,50,8.8,50,75,13.67,75,100,5.98,100,125,2.95,125,150,2.72,150,9999,2.95,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
